id,num.Resting_Teff,neg|score.Resting_Teff,neg|p-value.Resting_Teff,neg|fdr.Resting_Teff,neg|rank.Resting_Teff,neg|goodsgrna.Resting_Teff,neg|lfc.Resting_Teff,pos|score.Resting_Teff,pos|p-value.Resting_Teff,pos|fdr.Resting_Teff,pos|rank.Resting_Teff,pos|goodsgrna.Resting_Teff,pos|lfc.Resting_Teff,num.Stimulated_Teff,neg|score.Stimulated_Teff,neg|p-value.Stimulated_Teff,neg|fdr.Stimulated_Teff,neg|rank.Stimulated_Teff,neg|goodsgrna.Stimulated_Teff,neg|lfc.Stimulated_Teff,pos|score.Stimulated_Teff,pos|p-value.Stimulated_Teff,pos|fdr.Stimulated_Teff,pos|rank.Stimulated_Teff,pos|goodsgrna.Stimulated_Teff,pos|lfc.Stimulated_Teff,num.Resting_Treg,neg|score.Resting_Treg,neg|p-value.Resting_Treg,neg|fdr.Resting_Treg,neg|rank.Resting_Treg,neg|goodsgrna.Resting_Treg,neg|lfc.Resting_Treg,pos|score.Resting_Treg,pos|p-value.Resting_Treg,pos|fdr.Resting_Treg,pos|rank.Resting_Treg,pos|goodsgrna.Resting_Treg,pos|lfc.Resting_Treg
TP63,4,0.86539,0.86635,0.999996,1094,0,0.052743,0.58096,0.60509,0.999996,720,1,0.052743,4,0.67794,0.68063,0.999996,864,1,-0.13224,0.81789,0.82066,0.999996,1056,0,-0.13224,4,0.22752,0.36844,0.999996,422,2,-0.077165,0.68414,0.72443,0.999996,853,1,-0.077165
ZNF586,4,0.3319,0.45099,0.999996,501,1,-3.44E-04,0.58365,0.60698,0.999996,721,1,-3.44E-04,4,0.10679,0.19712,0.999996,254,1,-0.06558,0.33572,0.465,0.999996,576,1,-0.06558,4,0.51057,0.61991,0.999996,694,1,0.065484,0.15003,0.3004,0.999996,363,3,0.065484
IL6R,4,0.77542,0.77683,0.999996,951,0,-0.0048366,0.58442,0.60756,0.999996,722,1,-0.0048366,4,0.74343,0.74401,0.999996,961,0,-0.037583,0.16125,0.26802,0.999996,301,1,-0.037583,4,0.33403,0.47699,0.999996,539,1,-0.0074702,0.13763,0.28013,0.999996,335,2,-0.0074702
ONECUT1,4,0.59953,0.61752,0.999996,725,1,0.023378,0.5848,0.60788,0.999996,723,1,0.023378,4,0.13964,0.23732,0.999996,300,1,0.056936,0.78771,0.78953,0.999996,1019,0,0.056936,4,0.2072,0.3474,0.999996,401,2,-0.10652,0.19569,0.34804,0.999996,410,1,-0.10652
IL6ST,4,0.13028,0.22665,0.999996,258,2,-0.11664,0.58519,0.60812,0.999996,724,1,-0.11664,4,0.39106,0.48119,0.999996,608,1,-0.10858,0.9744,0.97427,0.999996,1295,0,-0.10858,4,0.81699,0.81767,0.999996,959,1,0.039019,0.33736,0.48561,0.999996,560,2,0.039019
ZNF730,4,0.21617,0.33102,0.999996,367,2,-0.050957,0.58557,0.60841,0.999996,725,1,-0.050957,4,0.65952,0.66468,0.999996,841,1,-0.076402,0.89415,0.89511,0.999996,1164,0,-0.076402,4,0.38794,0.5313,0.999996,603,1,0.085349,0.11668,0.24416,0.999996,293,2,0.085349
DMRT1,4,0.71309,0.71397,0.999996,868,1,-0.098925,0.58633,0.60887,0.999996,726,1,-0.098925,4,0.18373,0.29227,0.999996,371,2,-0.21059,0.9725,0.9726,0.999996,1292,0,-0.21059,4,0.53728,0.63218,0.999996,708,1,0.079807,0.23511,0.38663,0.999996,452,2,0.079807
ZNF322,4,0.4255,0.50236,0.999996,569,1,-0.034552,0.58786,0.61,0.999996,727,1,-0.034552,4,0.24129,0.36164,0.999996,450,2,-0.083991,0.7248,0.72568,0.999996,924,1,-0.083991,4,0.94844,0.94807,0.999996,1191,0,0.046188,0.22175,0.37323,0.999996,435,2,0.046188
TBX3,4,0.025805,0.065338,0.74807,118,2,-0.1461,0.58938,0.61112,0.999996,728,1,-0.1461,4,0.025823,0.065265,0.831823,106,3,-0.25242,0.51839,0.56692,0.999996,711,1,-0.25242,4,0.63298,0.68125,0.999996,765,1,0.019619,0.2179,0.36957,0.999996,429,2,0.019619
ZNF143,4,0.17414,0.28054,0.999996,317,2,-0.066519,0.59165,0.61282,0.999996,729,1,-0.066519,4,0.43713,0.50782,0.999996,647,1,-0.10744,0.29165,0.42249,0.999996,521,1,-0.10744,4,0.078673,0.17489,0.961859,243,3,-0.092269,0.92742,0.92726,0.999996,1161,0,-0.092269
