gene_name,safe,efficacy,window_rank,ot_genetic_supported,ot_genetic_max,ot_genetic_n_diseases,tractable,is_iei,freimer_hit,freimer_min_fdr,freimer_dir,freimer_marker,arce_hit,arce_min_fdr,arce_dir,any_hit
CYC1,True,0.4750022801645731,1619,False,0.0,,True,False,,,,,,,,
MTERF4,False,0.1744891110551516,1620,False,,,,False,,,,,,,,
FAF2,False,0.1744513222178208,1621,False,,,,False,,,,,,,,
NCAPG2,True,0.1744340074793998,1622,False,0.0,,False,False,,,,,,,,
RANGRF,False,0.3389355260609531,1623,False,,,,False,,,,,,,,
ZNF736,False,0.1738913626416014,1624,False,,,,False,False,0.999996,pos_regulator,IL2RA,False,0.999996,loss_lowers_IL2RA,0.0
TNFRSF18,False,0.4485379872217099,1625,False,,,,False,,,,,,,,
SNX12,False,0.1733944666688734,1626,False,,,,False,,,,,,,,
CD55,False,0.2511896234241099,1627,False,,,,True,,,,,,,,
USP3,False,0.172932698744479,1628,False,,,,False,,,,,,,,
STX1A,False,0.5701380258804254,1629,False,,,,False,,,,,,,,
BTG2,False,0.3718794265045448,1630,False,,,,False,,,,,,,,
MPV17,False,0.4126189554293969,1631,False,,,,False,,,,,,,,
SFXN1,False,0.171904513145223,1632,False,,,,False,,,,,,,,
EXD2,False,0.3252900026740205,1633,False,,,,False,,,,,,,,
SC5D,False,0.2692747797201923,1634,False,,,,False,,,,,,,,
GID4,False,0.6772872505486405,1635,False,,,,False,,,,,,,,
E2F5,False,0.3988190196311738,1636,False,,,,False,False,0.999996,pos_regulator,IL2RA,False,0.999996,loss_lowers_IL2RA,0.0
PRDM4,False,0.4235786754926827,1637,False,,,,False,False,0.999996,pos_regulator,IL2,False,0.999996,loss_lowers_IL2RA,0.0
FKBP11,False,0.7758463833919815,1638,False,,,,False,,,,,,,,
COG6,True,0.1705739267834215,1639,True,0.6546775918977833,5.0,True,False,,,,,,,,
TRABD,False,0.7465124589541698,1640,False,,,,False,,,,,,,,
OAZ2,False,0.1705405508477209,1641,False,,,,False,,,,,,,,
MYOF,False,0.1700398477813542,1642,False,,,,False,,,,,,,,
VPS13C,False,0.1698445796923054,1643,False,,,,False,,,,,,,,
CCL3,False,0.1694991201112327,1644,False,,,,False,False,0.999996,pos_regulator,IL2RA,False,0.999996,loss_lowers_IL2RA,0.0
ECPAS,False,0.1686048461233714,1645,False,,,,False,,,,,,,,
DLGAP5,False,0.2430830797759121,1646,False,,,,False,,,,,,,,
TMEM65,False,0.245462948517165,1647,False,,,,False,,,,,,,,
NETO2,False,0.1731783211395934,1648,False,,,,False,,,,,,,,
ANKRD13A,False,0.2336690523796644,1649,False,,,,False,,,,,,,,
CCNL1,False,0.7668651917090737,1650,False,,,,False,,,,,,,,
PDIA4,False,0.1730626381369115,1651,False,,,,False,,,,,,,,
SPNS1,False,0.5201437547377802,1652,False,,,,False,,,,,,,,
SEPTIN11,False,0.1676679475623474,1653,False,,,,False,,,,,,,,
ZNF717,False,0.9455879060694644,1654,False,,,,False,,,,,,,,
PBX3,False,0.1674681229600276,1655,False,,,,False,False,0.928033,neg_regulator,CTLA4,False,0.999996,loss_lowers_IL2RA,0.0
R3HCC1L,False,0.5800801119410346,1656,False,,,,False,,,,,,,,
ZNF595,False,0.1671901171834463,1657,False,,,,False,False,0.999996,pos_regulator,IL2RA,False,0.999996,loss_lowers_IL2RA,0.0
CCR8,False,0.3645290640830526,1658,False,,,,False,False,0.999996,pos_regulator,IL2,False,0.999996,loss_lowers_IL2RA,0.0
TMEM71,False,0.1668897315186277,1659,False,,,,False,,,,,,,,
