gene_name,efficacy,module_suppression,z_induction_matched,z_expression_matched_recovery_control,z_effector_positive_control,in_naive_top100,is_il2_axis
UFSP2,0.1559560468303971,0.1946769766509533,1.6935538554541305,2.5893235062951914,3.5476699666805436,False,False
UGCG,0.17380678479094058,0.19100097401274574,1.6693337955676268,2.177339883025954,4.218604032304181,False,False
UGDH,0.21590200590435416,0.062990283800496,0.6354357280561368,1.109509596271287,5.184021695068678,False,False
UGGT1,0.10807881782966433,0.277770537055201,2.2193695121461894,3.805061883763935,1.9755853476603216,False,False
UGP2,0.16141529235756025,0.1025330846508344,0.30630050161801153,1.4133815018593892,2.1973249448178827,False,False
UHMK1,0.2289448888041079,0.09334132199486096,0.1586493952995824,1.0900011369526386,5.503082040722771,False,False
BLTP3A,0.057220895076170564,-0.0005242282317744361,-0.6470668202118641,-0.2968517513192652,0.537470798600288,False,False
BLTP3B,-0.019897121950634755,-0.1666701707161135,-2.152813582620124,-2.7880486551325805,-1.9711825758820543,False,False
UHRF2,-0.2140632877126336,-0.00817064568400383,-0.008461407557022124,-0.041032083459167944,-4.90799280051105,False,False
UIMC1,-0.014604915850213729,0.31549127537032795,4.883049306803974,5.688090738756675,-0.3752421410373207,False,False
ULK1,0.12273805673612515,0.2879906559569968,4.261671575492079,5.035661156699293,3.7133946244240184,False,False
ULK2,0.23274406255222857,0.3739643883374002,3.504475595002218,4.478261665642312,4.827766915843466,False,False
ULK4,0.024494376964867115,-0.13538522221561936,-1.3818974937897504,-1.9319188508540899,0.7752882983670408,False,False
UNC119,0.16656675570993684,0.03940255401862992,0.14550785180871517,0.21790325094194563,3.926907538988532,False,False
UNC119B,0.28201464615995064,0.41950811362928814,3.9561076276339118,4.922160653300097,5.884806022608026,False,False
UNC13D,0.12150635590660386,0.0499397452092833,0.23015877093696047,0.6415601297720291,2.6872394264998967,False,False
UNC45A,0.776839127902349,0.29546292167570853,0.6931383990981974,1.0835383448966518,6.315237389474035,True,False
UNC93B1,0.20714599930215627,0.15868392146916854,1.610196764734662,2.3509804821660536,4.448437066185747,False,False
UNK,-0.09157550687086768,0.46083423205547863,5.402292228879731,5.363944276646971,-2.6930577894790737,False,False
UPF2,0.1892440951487515,0.6634994382556114,3.1499577904143172,3.745630023257969,2.0145946046489214,False,False
UPF3A,0.6539777115031029,0.004059125979741414,-0.2865252931044018,0.13730946862071364,13.072448283253452,False,False
UPP1,0.021130857019670657,0.3754889774653647,3.735305912286598,5.578377081512256,-0.4561501381248059,False,False
UPRT,0.010675637022359297,0.18489889593587983,2.1071455839755306,2.7597834556030874,0.27888604533625,False,False
UQCC2,0.11408083979040384,-0.24356346308357185,-2.7137646750775835,-2.842064207717955,2.0223959670691927,False,False
UQCR11,0.08163401612287657,0.09569688508700994,0.9289918524127373,1.5011002298458838,2.3236282050533426,False,False
UQCRB,0.11403695866465569,-0.017344758328464296,-0.33823076868078655,-0.4140780954923997,1.2266437236073766,False,False
UQCRC2,0.6982654142193496,0.8243901464674208,3.6177621629765295,4.383388517604049,9.590189464706002,False,False
UQCRH,0.42091058795995195,0.33665674676497775,2.8395362753929305,3.5810545946393493,8.3605715614109,False,False
URGCP,0.16682805021991953,0.1750814144810041,1.6956572240934633,2.3989353672009397,4.4333554911217465,False,False
URM1,-0.039763000728271436,-0.03575061716967159,-0.5070765239414555,-0.7203842023474094,-1.1038422073709455,False,False
USB1,0.11531381645181682,0.2223627982247207,1.97835788165094,3.113679550668261,2.240354208768757,False,False
