gene_name,eff_mean_lfc,eff_mean_z,n_module_down,tol_mean_lfc,tol_mean_z,n_tolerance_down,stim_de_genes,n_cells_target,rest_de_genes,rest_qc_class,rest_qc_fail_reason,selectivity,efficacy,tolerance_loss,efficacy_lfc,tolerance_loss_lfc,rest_cells,rest_cells_ratio,log2_stim_over_rest_cells,viability_tier,is_iei,is_core_essential,fail_direction,fail_evidence,fail_tolerance,fail_homeostasis,homeostasis_verdict,safe,reject_reason,window_score,window_rank
MICAL3,-0.5033100665792802,-0.8471900626330102,0,-0.014029415175269436,0.010454841370610861,0,4,442.0,2.0,rest_qc_pass,-,0.5108256237659905,0.8471900626330102,-0.010454841370610861,0.5033100665792802,0.014029415175269436,571.0,1.0515653775322285,-0.36944437597141117,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.323072001966636,57
RUSF1,-0.30742423938987784,-0.8456874287689584,0,0.10879458207385417,0.24923642988999012,0,2,647.0,2.0,rest_qc_pass,-,0.0,0.8456874287689584,-0.24923642988999012,0.30742423938987784,-0.10879458207385417,633.0,1.1657458563535912,0.031560212564166336,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.319420567614749,58
SSR3,-0.5681542032948448,-0.8876828852373593,1,0.036674787527012684,-0.03809249834141594,0,31,1064.0,66.0,rest_qc_pass,-,-0.7389567165912392,0.8876828852373593,0.03809249834141594,0.5681542032948448,-0.036674787527012684,1189.0,2.189686924493554,-0.16025056424446615,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.3173682189902296,59
UFM1,-0.6961030545762852,-1.2535856361990056,8,-0.2119838160228555,-0.3661722542052552,2,1385,584.0,1670.0,rest_qc_pass,-,-0.18700034884554473,1.2535856361990056,0.3661722542052552,0.6961030545762852,0.2119838160228555,843.0,1.5524861878453038,-0.5295642620620651,non-depleting,False,False,False,False,False,True,fail,True,-,2.3099173113036113,60
SPCS2,-0.7602943331131761,-0.9583033784481412,0,0.017006597108189508,-0.10558296304961459,0,2,145.0,4.0,rest_qc_pass,-,-0.5108256237659905,0.9583033784481412,0.10558296304961459,0.7602943331131761,-0.017006597108189508,175.0,0.32228360957642727,-0.27130202181739427,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.304534218783621,61
DEPDC5,-0.5512729769708167,-0.8377088701787282,0,-0.009807637473572335,0.05910635096163132,0,1,596.0,70.0,rest_qc_pass,-,-3.56953269648137,0.8377088701787282,-0.05910635096163132,0.5512729769708167,0.009807637473572335,725.0,1.3351749539594844,-0.2826686644401352,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.300032489379676,62
CFAP20,-1.2606704974144665,-2.430327649566531,13,-0.506342383114607,-1.4188453867022208,3,1293,177.0,455.0,rest_qc_pass,-,1.043000665546459,2.430327649566531,1.4188453867022208,1.2606704974144665,0.506342383114607,301.0,0.5543278084714549,-0.7660141266767047,non-depleting,False,False,False,False,True,True,fail,False,tolerance,2.2925968178756415,63
CIT,-0.41438361852037964,-0.8329740344991803,0,0.1490476136738202,0.22558677824026174,0,35,254.0,74.0,rest_qc_pass,-,-0.7339691750802002,0.8329740344991803,-0.22558677824026174,0.41438361852037964,-0.1490476136738202,228.0,0.4198895027624309,0.15579467260742405,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.288526731347429,64
NEK4,-0.5666207599619515,-0.8312453417340377,0,-0.06821713864609218,0.33501896053931446,0,6,165.0,8.0,rest_qc_pass,-,-0.25131442828090633,0.8312453417340377,-0.33501896053931446,0.5666207599619515,0.06821713864609218,125.0,0.2302025782688766,0.4005379295837288,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.2843259687415083,65
UBR4,-1.2487007448721805,-2.0643535911871167,15,-0.4814227338004506,-1.098539327107757,1,510,178.0,1209.0,rest_qc_pass,-,-0.862006048387082,2.0643535911871167,1.098539327107757,1.2487007448721805,0.4814227338004506,337.0,0.6206261510128913,-0.9208713502154606,non-depleting,False,False,False,False,False,True,fail,True,-,2.278629861137104,66
DTD2,-0.40788106928394097,-0.8280559377243084,0,0.24835755472221216,0.18232987915771684,0,2,406.0,3.0,rest_qc_pass,-,-0.2876820724517808,0.8280559377243084,-0.18232987915771684,0.40788106928394097,-0.24835755472221216,334.0,0.6151012891344383,0.2816316247111239,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.2765756446993173,67
CAMK1,-0.4116514580977998,-0.8228331231491803,2,0.10675270814197818,0.06836058624268017,0,61,256.0,46.0,rest_qc_pass,-,0.27698678333503324,0.8228331231491803,-0.06836058624268017,0.4116514580977998,-0.10675270814197818,178.0,0.3278084714548803,0.5242665690336022,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.263884086889131,68
PIGM,-0.41459319560719127,-0.8226458417740232,0,0.11358657583065039,0.26640383583189053,0,1,545.0,1.0,rest_qc_pass,-,0.0,0.8226458417740232,-0.26640383583189053,0.41459319560719127,-0.11358657583065039,604.0,1.1123388581952118,-0.1482923196607902,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.263428988902138,69
USP24,-0.48655978994244614,-0.8219676712945851,3,-0.022439328429241,0.09416640638882498,0,149,519.0,5.0,rest_qc_pass,-,3.2188758248682006,0.8219676712945851,-0.09416640638882498,0.48655978994244614,0.022439328429241,482.0,0.8876611418047882,0.10670139212791913,non-depleting,False,False,False,False,False,False,pass,True,-,2.261781019264093,70
C15orf48,-0.4171398949855203,-0.8966656320875632,0,0.01916948086929275,-0.06728891412051555,0,5,496.0,3.0,rest_qc_fail,ontarget_ns,0.4054651081081644,0.8966656320875632,0.06728891412051555,0.4171398949855203,-0.01916948086929275,498.0,0.9171270718232044,-0.005805621681205801,non-depleting,False,False,False,True,False,True,indeterminate,False,evidence,2.259406171456086,71
MAPK1IP1L,-0.5939206267213785,-0.8206572153148706,0,0.15934061740885774,0.4250018647005629,0,4,375.0,3.0,rest_qc_pass,-,0.2231435513142097,0.8206572153148706,-0.4250018647005629,0.5939206267213785,-0.15934061740885774,423.0,0.7790055248618785,-0.1737670677367066,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.258596581527503,72
