gene_name,efficacy,rest_de_genes,stim_de_genes,freimer_il2_lowers,freimer_il2_lfc
PHTF1,-0.248913656413288,9.0,2,False,0.077285
ZNF529,-0.2533143844410169,1.0,1,False,-0.046888
ZNF33A,-0.0836877705137551,3.0,4,False,-0.052684
ZNF354B,0.6580894963329923,13.0,9,False,-0.063648
ZNF337,0.2523820073661195,2.0,1,False,0.085376
MED12,1.168501443844908,2843.0,2046,False,-2.424
PDCD1,-0.2694397416309397,0.0,2,False,-0.029829
ATF6B,-0.2711566300317325,6.0,30,True,0.5761
PPARA,0.2531339465137318,11.0,7,False,0.070866
ELK3,-0.2753381725324262,1.0,1,False,0.000586
TAP2,-0.2753764277390683,4.0,3,True,0.42981
MYB,-0.2753803838403517,1325.0,1222,False,0.082892
NFE2L3,-0.2810682713570476,1.0,6,False,0.087018
ZNF322,-0.1451664454674011,3.0,6,False,0.075128
ZNF274,-0.2823414929555912,146.0,144,False,0.057947
ZNF480,-0.1740989439282541,2.0,3,False,0.032894
LTA,0.5827698573252731,1.0,3,False,-0.079225
FOS,0.339369044578944,16.0,3,False,-0.10127
ZNF219,0.932539297648982,2.0,57,False,0.14101
CSF1,-0.0997939270025738,1.0,1,False,-0.09642
ARID3B,-0.2920908606733119,1.0,12,False,-0.2322
GLI4,-0.2953851072108301,5.0,4,False,0.07123
MAX,-0.298300248028101,90.0,101,False,0.13401
ZNF566,-0.2983103697396507,8.0,17,False,0.052098
BACH2,0.3378063536014826,0.0,4,False,0.18662
ZNF621,0.1937455675736235,2.0,2,False,-0.059898
ZNF708,-0.3221721000868333,1.0,1,False,0.098815
ZKSCAN5,0.4434215785397299,6.0,7,False,-0.10996
NR4A3,-0.3241927643863215,0.0,396,False,-0.041457
PURA,1.1089337702051898,5.0,2,False,0.081625
ZBTB34,0.2039952961050891,18.0,6,False,-0.0072062
ZNF597,0.0545486465606123,6.0,3,False,-0.01259
ZSCAN26,-0.2237927359184088,5.0,3,False,-0.02504
STAT5A,0.646454683813257,9.0,261,False,0.11365
TGIF2,-0.3383562697469173,4.0,106,False,-0.10031
ZNF628,0.6572993109580089,66.0,15,False,-0.073333
PTPN22,0.6282285749515619,1.0,2,False,-0.031191
ZNF382,-0.356406201575917,0.0,1,False,0.11759
RFX1,0.3470816491863385,195.0,165,False,0.015739
CTLA4,0.1666761953375945,0.0,3,False,-0.09024
IL13,0.1238908546220239,0.0,4,False,-0.071898
TFEB,-0.2213810329747634,1.0,2,False,0.065419
GTF2IRD1,0.2133682118607847,1.0,13,False,-0.037722
ZNF486,-0.0742000109780239,7.0,4,False,-0.010778
KLF13,0.4360933298075556,284.0,13,False,-0.31986
FOXO1,0.1009155339840062,1328.0,581,False,0.12951
IL4,-0.0489885565651716,1.0,3,False,-0.038415
ARID3A,-0.1189194478101946,4.0,15,False,-0.41369
ZBTB3,-0.2088180063766467,3.0,1,False,0.023918
CCR4,-0.2873377221045793,508.0,5,False,0.070632
PSMB9,0.3413766448583445,88.0,125,False,0.067412
ZFP82,0.8093937279507248,13.0,12,False,0.14854
ZNF17,-0.4131282873198641,1.0,1,False,0.069461
IL12RB2,-0.4149287741449988,230.0,160,False,0.1845
ZFP14,-0.2205101380084939,3.0,2,False,-0.057039
ZNF141,-0.4186000708649636,3.0,4,False,-0.051897
EGR1,-0.1507243806256247,2.0,3,False,0.29316
ZFP64,-0.4226380989441052,4.0,26,False,-0.14709
ZNF880,0.1373861112712207,2.0,8,False,0.065306
ZNF527,0.2657119106597767,9.0,1,False,-0.074999
ZNF718,0.4280185485493284,6.0,7,False,0.019063
AHR,-0.4334596647952961,2790.0,1822,False,0.24763
MAFG,-0.4359520416317931,4.0,3,False,-0.077743
CREM,0.0652750139790573,2.0,1,False,-0.08513
RARG,0.2099636931189042,3.0,2,False,0.10733
ZNF7,0.308002032619951,8.0,5,False,-0.073847
HOXB2,-0.4416772807706482,802.0,318,False,-0.082341
SP3,0.1049312311819925,16.0,113,False,-0.16166
NFAT5,0.8034654877931486,1624.0,2,False,0.098307
ELF4,0.2961467834947916,86.0,12,False,0.044386
HSF4,-0.4551802397385308,3.0,1,False,0.015744
E2F4,0.0202193567558174,1.0,103,False,0.23314
VEZF1,-0.3817412976528589,30.0,29,False,0.23264
IKZF2,0.2726270901195439,12.0,20,False,0.049597
TBP,-0.4732754097629215,3.0,1,True,0.84705
IER3,0.2912950851066297,3.0,1,False,0.079595
POU2F2,-0.4760819902066521,2.0,16,False,0.1544
ZNF184,-0.065220641696527,2.0,6,False,0.03477
ZNF44,-0.4814683111742179,2.0,3,False,-0.012549
HBP1,-0.005848147431877,2.0,4,False,0.14702
ZNF774,-0.4848019465653751,5.0,7,False,-0.051234
ZNF513,0.3209638147772831,1.0,3,False,-0.089757
PTPRC,-0.494224708587634,55.0,3226,False,-0.19576
CCR2,-0.3105451579358018,16.0,5,False,-0.11771
THRA,0.3549042953944288,337.0,101,False,0.048381
NFE2L1,-0.508728698524332,65.0,123,False,-0.051601
RARA,-0.5097128268398501,15.0,8,False,0.0019013
TGFB1,0.1562501999273168,3.0,5,False,0.044773
ZNF189,-0.1514685289213209,12.0,1,False,-0.026462
RUNX2,1.4322053943274795,10.0,35,False,0.15452
ZNF134,0.2202529077297804,1.0,1,False,-0.106
ZNF146,-0.5206981524593246,4.0,4,False,0.11352
ZNF329,0.5531294916066437,0.0,3,False,-0.097401
DDIT3,0.0685354650218929,1.0,5,False,-0.030266
TCF12,-0.5471403364082168,5.0,1,False,-0.24612
ZNF248,-0.5494635937609229,1.0,1,False,-0.070374
ZBTB14,0.475359954291276,17.0,211,False,-0.10605
PHF1,-0.5551765945457455,2.0,1,False,-0.096194
ATF2,1.028295075068031,4.0,1,False,0.2616
ZNF41,-0.113088119842639,1.0,1,False,-0.090463
IL6ST,0.0276531645791667,11.0,1,False,-0.098313
PRRC2A,0.9501367635182028,32.0,85,True,0.38296
YY1,0.8236788386423757,510.0,474,True,1.3671
BTN2A1,0.6903394824910362,2.0,2,False,-0.073383
ZIK1,0.1217805981794093,2.0,3,False,-0.12865
ZNF530,0.052593173572665,1.0,2,False,-0.083413
MSANTD3,-0.2526280521655717,7.0,2,False,-0.11517
RFX7,0.1953258607490939,2.0,2,False,-0.43554
ZNF740,0.198228148910739,4.0,5,False,-0.094183
NR1D1,0.4956816663855914,0.0,1,False,0.016695
BBX,0.3177090371686442,1.0,34,False,0.016973
MED30,0.0729414728853918,1.0,5,True,0.98659
ZNF182,-0.1137555385175376,2.0,2,False,-0.11796
USF1,0.7799402740909276,5.0,10,False,0.083246
STAT6,-0.3576865285872235,3.0,1128,False,-0.048903
ZNF200,-0.1276269364597916,10.0,57,False,0.08861
NFATC3,0.0530298761361008,1.0,2,False,0.27326
TCF3,-0.6979473599360547,1.0,3,False,-0.12269
